-BEGIN HEADER-,,,,,,,,,,,,,,,
PRECTOTCORR,42.25,-88.25,0.25,0.53,1.39,2.85,4.03,4.01,2.78,2.94,2.2,2.16,1.48,0.53,1.93
PRECTOTCORR,42.25,-88.75,0.18,0.53,1.32,2.99,3.96,4.22,2.99,3.08,2.2,2.02,1.41,0.53,1.93
PRECTOTCORR,42.25,-89.25,0.04,0.39,1.39,2.71,3.88,4.22,3.13,3.43,2.41,1.81,1.34,0.53,1.72
PRECTOTCORR,42.25,-89.75,0,0.35,1.46,2.79,3.81,4.32,3.16,3.2,2.25,1.86,1.16,0.47,1.67
PRECTOTCORR,42.25,-90.25,0,0.21,1.39,2.87,3.64,4.36,3.16,3.16,2.21,1.79,0.98,0.37,1.71
PRECTOTCORR,42.25,-90.75,0,0,1.2,2.83,3.46,4.43,3.25,3.45,2.32,1.67,0.86,0.25,1.78
PRECTOTCORR,42.25,-91.25,0,0,1.05,2.9,3.6,4.92,3.6,3.52,2.11,2.02,0.79,0.18,1.85
PRECTOTCORR,42.25,-91.75,0,0,0.98,2.69,3.46,4.78,3.74,3.52,2.04,1.88,0.72,0.18,1.71
,,,,,,,,,,,,,,,
PRECTOTCORR_SUM,36.75,-87.25,2655.18,3163.54,3344.41,3539.53,3812.7,3044.36,3098.14,2203.77,2498.55,2771.72,2852.4,3528.46,36512.75
PRECTOTCORR_SUM,36.75,-87.75,2626.7,3118.18,3368.67,3563.79,3793.71,2992.68,2964.2,2114.12,2459.53,2751.68,2897.75,3471.5,36122.52
PRECTOTCORR_SUM,36.75,-88.25,2631.97,3062.81,3382.91,3623.91,3802.68,3010.08,2879.82,2079.84,2426.84,2737.97,2997.42,3447.77,36084.02
PRECTOTCORR_SUM,36.75,-88.75,2634.08,3005.86,3351.27,3775.78,3762.6,2984.77,2776.46,2056.64,2346.68,2784.38,3111.33,3422.46,36012.3
PRECTOTCORR_SUM,36.75,-89.25,2608.77,2991.09,3357.6,3758.91,3781.58,2944.69,2727.95,2031.33,2353.01,2769.61,3111.33,3376.05,35811.91
PRECTOTCORR_SUM,36.75,-89.75,2575.55,2811.8,3321.21,3852.77,3740.45,2762.23,2707.91,2080.37,2340.35,2756.43,3201.5,3245.8,35396.37
PRECTOTCORR_SUM,36.75,-90.25,2473.24,2617.73,3270.59,3918.16,3729.9,2586.09,2702.64,2220.64,2380.43,2731.11,3275.33,3071.78,34977.66
PRECTOTCORR_SUM,36.75,-90.75,2316.09,2472.19,3224.71,3901.82,3764.18,2504.36,2693.14,2393.09,2496.45,2699.47,3280.08,2880.35,34625.92
PRECTOTCORR_SUM,36.75,-91.25,2193.75,2351.95,3193.07,3836.43,3781.05,2544.43,2655.18,2462.7,2663.09,2686.82,3216.8,2684.18,34269.43
PRECTOTCORR_SUM,36.75,-91.75,2132.58,2295,3209.94,3813.22,3825.35,2611.93,2674.16,2517.54,2760.12,2716.35,3176.72,2599.8,34332.71
PRECTOTCORR_SUM,37.25,-87.25,2573.44,2924.65,3320.68,3620.21,3798.98,3115.55,3133.48,2187.95,2463.75,2760.12,2829.2,3379.22,36107.23
PRECTOTCORR_SUM,37.25,-87.75,2532.3,2807.58,3292.21,3620.21,3719.88,3017.46,3010.08,2104.63,2412.07,2682.07,2860.84,3251.6,35310.94
PRECTOTCORR_SUM,37.25,-88.25,2520.18,2729,3258.98,3678.22,3724.1,3021.15,2903.03,2095.14,2379.9,2643.05,2967.89,3158.26,35078.91
PRECTOTCORR_SUM,37.25,-88.75,2496.97,2655.18,3258.98,3752.05,3728.32,2997.95,2797.56,2101.46,2301.86,2657.81,3079.69,3082.32,34910.16
PRECTOTCORR_SUM,37.25,-89.25,2477.99,2621.43,3218.91,3787.91,3743.09,2972.64,2765.92,2097.25,2333.5,2657.81,3079.69,3054.9,34811.02
PRECTOTCORR_SUM,37.25,-89.75,2408.38,2489.59,3166.17,3855.41,3791.07,2838.16,2748.52,2211.68,2373.05,2665.72,3168.28,2908.83,34624.86
PRECTOTCORR_SUM,37.25,-90.25,2276.54,2344.04,3090.23,3893.38,3862.79,2713.71,2752.73,2393.09,2444.77,2636.19,3235.78,2711.6,34354.86
PRECTOTCORR_SUM,37.25,-90.75,2110.43,2236.46,3031.17,3885.47,3938.2,2681.02,2766.45,2568.16,2566.05,2583.98,3218.38,2523.87,34109.65
PRECTOTCORR_SUM,37.25,-91.25,1977.54,2185.84,3079.69,3860.16,3986.72,2784.38,2758.01,2641.99,2747.46,2583.98,3098.14,2399.41,34103.32
PRECTOTCORR_SUM,37.25,-91.75,1939.57,2128.89,3079.69,3801.09,4001.48,2887.73,2865.59,2766.45,2895.12,2628.28,2992.68,2310.82,34297.38
PRECTOTCORR_SUM,37.75,-87.25,2478.52,2625.12,3246.33,3665.57,3823.24,3145.08,3110.8,2204.3,2443.71,2639.88,2802.83,3146.13,35331.5
PRECTOTCORR_SUM,37.75,-87.75,2412.07,2488.01,3175.66,3634.98,3674.53,3049.1,3012.71,2168.44,2389.92,2565,2839.75,2965.78,34375.96
PRECTOTCORR_SUM,37.75,-88.25,2340.35,2367.25,3102.89,3654.49,3634.45,3053.32,2878.77,2168.44,2330.33,2513.32,2909.88,2790.7,33744.2
PRECTOTCORR_SUM,37.75,-88.75,2293.95,2270.21,2995.31,3675.59,3733.59,3063.87,2760.64,2162.11,2275.49,2515.43,2937.3,2678.91,33362.4
PRECTOTCORR_SUM,37.75,-89.25,2247.54,2225.92,2957.34,3694.57,3742.03,3028.01,2741.66,2174.77,2309.24,2521.76,2971.05,2645.16,33259.04
PRECTOTCORR_SUM,37.75,-89.75,2137.85,2102.52,2901.97,3723.05,3790.02,2968.42,2740.08,2293.42,2341.41,2509.1,2988.98,2500.66,32997.48
PRECTOTCORR_SUM,37.75,-90.25,1999.69,2006.54,2824.98,3710.39,3854.36,2909.36,2752.73,2460.06,2417.34,2471.13,2972.11,2336.13,32714.82
PRECTOTCORR_SUM,37.75,-90.75,1866.8,1973.85,2767.5,3666.09,3916.58,2900.39,2773.83,2621.95,2549.18,2424.2,2906.72,2201.13,32568.22
PRECTOTCORR_SUM,37.75,-91.25,1771.88,1969.63,2816.02,3659.77,3962.99,3016.41,2794.92,2731.64,2715.82,2407.32,2784.38,2104.1,32734.86
PRECTOTCORR_SUM,37.75,-91.75,1748.67,1889.47,2782.27,3640.78,4005.18,3086.02,2965.78,2902.5,2840.27,2479.04,2687.34,2040.82,33068.14
PRECTOTCORR_SUM,38.25,-87.25,2378.32,2330.86,3073.89,3652.38,3851.72,3263.73,3054.9,2250.18,2436.86,2567.11,2798.09,2859.79,34517.81
PRECTOTCORR_SUM,38.25,-87.75,2307.66,2207.46,2969.47,3579.61,3696.68,3182.52,2989.51,2254.39,2374.63,2544.96,2824.45,2681.54,33612.89
PRECTOTCORR_SUM,38.25,-88.25,2201.13,2067.19,2875.08,3528.46,3603.34,3170.92,2872.44,2262.3,2289.73,2510.68,2811.27,2482.73,32675.27
PRECTOTCORR_SUM,38.25,-88.75,2104.1,1961.72,2700,3520.02,3672.95,3187.79,2739.55,2230.66,2241.21,2449.51,2771.19,2320.31,31899.02
PRECTOTCORR_SUM,38.25,-89.25,2070.35,1917.42,2676.8,3522.13,3729.9,3166.7,2747.99,2274.96,2285.51,2468.5,2794.39,2263.36,31918.01
PRECTOTCORR_SUM,38.25,-89.75,1949.59,1828.83,2602.97,3527.4,3728.32,3134.53,2737.44,2344.57,2331.39,2438.44,2744.82,2173.18,31541.48
PRECTOTCORR_SUM,38.25,-90.25,1814.59,1767.66,2558.67,3506.31,3735.7,3100.78,2739.55,2452.15,2406.27,2376.21,2656.23,2078.26,31192.38
PRECTOTCORR_SUM,38.25,-90.75,1703.85,1743.93,2555.51,3459.38,3775.25,3093.93,2779.63,2602.44,2518.59,2328.75,2557.09,1987.56,31105.9
PRECTOTCORR_SUM,38.25,-91.25,1621.58,1705.96,2536.52,3417.19,3825.88,3161.43,2876.66,2792.29,2657.81,2373.05,2470.61,1890.53,31329.49
PRECTOTCORR_SUM,38.25,-91.75,1611.04,1663.77,2498.55,3419.3,3861.74,3152.99,2980.02,2857.68,2710.55,2432.11,2447.4,1846.23,31481.37
PRECTOTCORR_SUM,38.75,-87.25,2273.91,2071.93,2804.41,3592.79,3835.9,3475.2,3038.03,2327.7,2430.53,2592.95,2766.45,2598.22,33808.01
PRECTOTCORR_SUM,38.75,-87.75,2234.88,1958.03,2706.33,3502.09,3725.16,3410.86,3003.22,2310.82,2355.64,2605.61,2784.38,2431.58,33028.59
PRECTOTCORR_SUM,38.75,-88.25,2152.09,1851.5,2613.52,3422.46,3624.43,3388.18,2924.65,2295,2251.76,2595.59,2745.88,2266,32131.05
PRECTOTCORR_SUM,38.75,-88.75,2017.09,1779.79,2489.06,3369.73,3588.57,3367.09,2736.91,2257.03,2209.57,2504.88,2655.18,2090.92,31065.82
PRECTOTCORR_SUM,38.75,-89.25,1949.59,1741.82,2413.12,3367.62,3647.64,3335.45,2745.35,2351.95,2260.2,2488.01,2631.97,2048.73,30981.45
PRECTOTCORR_SUM,38.75,-89.75,1815.64,1692.77,2343.52,3352.85,3651.33,3273.75,2725.31,2396.25,2307.66,2439.49,2548.65,1981.23,30528.46
PRECTOTCORR_SUM,38.75,-90.25,1685.92,1645.31,2317.15,3325.43,3659.77,3206.25,2733.75,2470.08,2363.55,2375.16,2453.73,1903.18,30139.28
PRECTOTCORR_SUM,38.75,-90.75,1591.52,1602.6,2321.89,3290.63,3695.62,3167.23,2807.05,2605.08,2447.93,2345.62,2359.34,1815.12,30049.63
PRECTOTCORR_SUM,38.75,-91.25,1524.02,1558.3,2296.58,3258.98,3744.14,3200.98,2961.04,2784.38,2589.26,2436.33,2241.21,1703.32,30298.54
PRECTOTCORR_SUM,38.75,-91.75,1517.7,1535.1,2275.49,3223.13,3693.52,3200.98,3017.99,2784.37,2641.99,2463.75,2264.41,1680.12,30298.54
PRECTOTCORR_SUM,39.25,-87.25,2102.52,1877.87,2515.43,3441.97,3660.82,3613.89,3070.2,2376.74,2342.46,2606.66,2643.57,2334.02,32586.15
PRECTOTCORR_SUM,39.25,-87.75,2054,1796.66,2417.34,3368.14,3586.99,3547.44,2997.42,2311.35,2266.52,2633.03,2630.92,2175.82,31785.64
PRECTOTCORR_SUM,39.25,-88.25,1964.36,1737.6,2326.11,3292.73,3527.93,3512.64,2908.83,2284.98,2195.86,2618.26,2602.97,2051.89,31024.16
PRECTOTCORR_SUM,39.25,-88.75,1858.89,1684.86,2233.3,3237.89,3475.2,3462.01,2763.28,2280.76,2204.3,2565.53,2541.8,1948.54,30256.35
PRECTOTCORR_SUM,39.25,-89.25,1753.42,1638.46,2140.49,3187.27,3530.04,3426.15,2718.98,2373.57,2231.72,2498.03,2453.2,1914.79,29866.11
PRECTOTCORR_SUM,39.25,-89.75,1638.46,1580.98,2099.88,3161.95,3573.81,3372.89,2698.42,2436.33,2282.87,2433.69,2355.12,1849.39,29483.79
PRECTOTCORR_SUM,39.25,-90.25,1535.1,1527.19,2085.12,3115.55,3589.63,3298.01,2717.4,2503.83,2337.71,2372.52,2259.14,1768.18,29109.38
PRECTOTCORR_SUM,39.25,-90.75,1449.67,1493.44,2079.84,3061.76,3597.01,3232.62,2791.23,2592.95,2401.52,2330.33,2163.69,1670.1,28864.16
PRECTOTCORR_SUM,39.25,-91.25,1373.73,1497.66,2077.73,3074.41,3651.86,3243.16,2934.67,2702.64,2504.88,2338.77,2054,1537.21,28990.72
PRECTOTCORR_SUM,39.25,-91.75,1363.18,1468.12,2060.86,3061.76,3616,3270.59,2983.18,2744.82,2566.05,2380.96,2037.13,1528.77,29081.43
PRECTOTCORR_SUM,39.75,-87.25,1872.07,1737.6,2276.02,3203.61,3428.26,3589.63,3097.62,2455.84,2228.03,2530.2,2449.51,2080.9,30949.28
PRECTOTCORR_SUM,39.75,-87.75,1782.42,1657.44,2168.44,3136.11,3394.51,3510.53,2984.77,2399.94,2174.24,2555.51,2410.49,1960.66,30135.06
PRECTOTCORR_SUM,39.75,-88.25,1688.55,1601.02,2089.34,3066.5,3370.25,3456.74,2885.1,2389.92,2165.8,2554.45,2376.21,1868.91,29512.79
PRECTOTCORR_SUM,39.75,-88.75,1629.49,1539.84,1988.09,3034.86,3361.82,3456.74,2802.83,2362.5,2233.3,2531.25,2346.68,1792.97,29080.37
PRECTOTCORR_SUM,39.75,-89.25,1572.54,1501.88,1956.45,2977.91,3435.64,3410.33,2756.43,2444.77,2212.21,2476.41,2247.54,1761.33,28753.42
PRECTOTCORR_SUM,39.75,-89.75,1479.2,1452.83,1915.31,2936.78,3501.56,3376.58,2711.6,2501.72,2257.56,2415.23,2151.56,1715.45,28415.39
PRECTOTCORR_SUM,39.75,-90.25,1379,1409.59,1899.49,2906.19,3531.09,3360.76,2705.27,2561.84,2315.57,2342.46,2066.13,1647.95,28125.35
PRECTOTCORR_SUM,39.75,-90.75,1278.28,1382.7,1910.57,2898.28,3545.86,3358.12,2763.81,2638.83,2367.25,2274.43,1988.09,1550.39,27956.6
PRECTOTCORR_SUM,39.75,-91.25,1160.16,1376.37,1916.89,2942.58,3617.58,3353.91,2903.03,2731.64,2428.42,2249.12,1903.71,1413.28,27996.68
PRECTOTCORR_SUM,39.75,-91.75,1143.28,1370.04,1876.82,2927.81,3634.45,3419.3,2913.57,2744.3,2487.48,2270.21,1865.74,1398.52,28051.52
PRECTOTCORR_SUM,40.25,-87.25,1689.61,1603.65,2078.26,2943.11,3272.17,3538.48,3120.29,2598.75,2168.44,2442.66,2251.76,1870.49,29577.66
PRECTOTCORR_SUM,40.25,-87.75,1604.18,1517.17,1999.16,2879.82,3292.21,3466.76,3035.92,2579.77,2163.16,2480.62,2219.06,1794.55,29032.38
PRECTOTCORR_SUM,40.25,-88.25,1540.37,1453.89,1954.86,2816.02,3330.7,3371.31,2942.05,2566.05,2201.13,2500.66,2180.04,1734.96,28592.05
PRECTOTCORR_SUM,40.25,-88.75,1500.29,1415.92,1885.25,2826.56,3364.45,3356.54,2876.66,2536.52,2283.4,2473.24,2125.2,1661.13,28305.18
PRECTOTCORR_SUM,40.25,-89.25,1462.32,1403.26,1889.47,2784.38,3379.22,3297.48,2836.58,2578.71,2255.98,2460.59,2074.57,1652.7,28075.25
PRECTOTCORR_SUM,40.25,-89.75,1376.89,1371.62,1833.57,2764.34,3450.94,3282.71,2780.68,2584.51,2288.67,2359.34,1990.72,1598.38,27682.38
PRECTOTCORR_SUM,40.25,-90.25,1266.15,1341.04,1786.11,2753.79,3517.38,3340.72,2739.55,2616.15,2339.3,2255.98,1909.51,1515.06,27380.74
PRECTOTCORR_SUM,40.25,-90.75,1136.43,1317.3,1771.35,2749.57,3560.63,3435.64,2754.84,2687.87,2383.59,2199.55,1834.63,1412.75,27244.16
PRECTOTCORR_SUM,40.25,-91.25,978.22,1291.99,1769.24,2758.01,3607.03,3467.29,2879.3,2765.92,2415.23,2201.66,1737.6,1294.63,27166.11
PRECTOTCORR_SUM,40.25,-91.75,927.6,1281.45,1743.93,2764.34,3634.45,3562.21,2891.95,2797.56,2457.42,2205.88,1712.29,1273.54,27252.6
PRECTOTCORR_SUM,40.75,-87.25,1572.01,1493.96,1918.48,2747.46,3172.5,3464.12,3138.22,2752.73,2200.61,2433.69,2087.23,1697.52,28678.54
PRECTOTCORR_SUM,40.75,-87.75,1496.07,1414.86,1865.74,2692.62,3235.78,3421.93,3054.9,2727.42,2211.15,2479.04,2040.82,1645.84,28286.19
PRECTOTCORR_SUM,40.75,-88.25,1413.81,1360.55,1839.38,2629.86,3301.17,3335.98,2951.54,2706.33,2250.7,2476.41,1991.78,1605.76,27863.26
PRECTOTCORR_SUM,40.75,-88.75,1363.18,1371.09,1835.16,2676.27,3353.91,3295.9,2892.48,2678.91,2320.31,2415.23,1953.81,1584.67,27740.92
PRECTOTCORR_SUM,40.75,-89.25,1333.65,1358.44,1824.61,2642.52,3337.03,3234.73,2841.86,2678.91,2318.2,2402.58,1928.5,1576.23,27477.25
PRECTOTCORR_SUM,40.75,-89.75,1266.15,1333.12,1784,2667.3,3419.82,3255.82,2783.32,2663.09,2358.81,2274.43,1868.38,1504.51,27178.77
PRECTOTCORR_SUM,40.75,-90.25,1159.63,1303.59,1733.38,2667.3,3502.09,3341.25,2739.02,2659.92,2387.29,2154.2,1786.11,1404.32,26838.11
PRECTOTCORR_SUM,40.75,-90.75,1014.61,1265.1,1692.77,2620.9,3532.15,3458.32,2754.32,2691.56,2394.14,2100.41,1689.61,1294.63,26508.52
PRECTOTCORR_SUM,40.75,-91.25,833.2,1199.71,1682.23,2568.16,3506.84,3559.57,2897.75,2773.83,2415.23,2106.74,1582.03,1178.61,26303.91
PRECTOTCORR_SUM,40.75,-91.75,786.8,1182.83,1665.35,2599.8,3555.35,3648.16,2925.18,2887.73,2436.33,2129.94,1569.38,1155.41,26542.27
PRECTOTCORR_SUM,41.25,-87.25,1473.93,1411.7,1772.4,2640.41,3110.8,3271.64,3052.79,2906.72,2276.02,2510.16,1992.3,1579.39,27998.26
PRECTOTCORR_SUM,41.25,-87.75,1403.26,1355.8,1756.58,2620.37,3194.12,3300.12,2990.57,2868.75,2278.12,2509.1,1944.84,1528.77,27750.41
PRECTOTCORR_SUM,41.25,-88.25,1306.76,1310.98,1758.16,2581.87,3277.97,3310.14,2906.72,2820.76,2304.49,2454.26,1885.78,1491.33,27409.22
PRECTOTCORR_SUM,41.25,-88.75,1218.16,1302.54,1745.51,2573.44,3290.62,3356.54,2837.11,2755.37,2346.68,2367.77,1814.06,1455.47,27063.28
PRECTOTCORR_SUM,41.25,-89.25,1220.27,1302.54,1732.85,2571.33,3328.59,3312.25,2786.48,2765.92,2342.46,2317.15,1816.17,1449.14,26945.16
PRECTOTCORR_SUM,41.25,-89.75,1149.61,1285.14,1721.78,2607.19,3366.56,3386.6,2780.16,2774.88,2358.81,2193.75,1777.15,1401.68,26803.3
PRECTOTCORR_SUM,41.25,-90.25,1026.21,1228.18,1694.36,2609.3,3384.49,3479.41,2785.43,2788.59,2366.19,2079.84,1694.88,1313.09,26449.98
PRECTOTCORR_SUM,41.25,-90.75,884.36,1133.79,1658.5,2562.36,3372.89,3563.79,2821.82,2838.16,2365.66,2022.89,1593.11,1201.29,26018.61
PRECTOTCORR_SUM,41.25,-91.25,772.56,1028.32,1647.95,2507.52,3332.81,3686.13,2961.04,2979.49,2388.87,2035.55,1521.39,1102.15,25963.77
PRECTOTCORR_SUM,41.25,-91.75,736.7,990.35,1584.67,2539.16,3389.77,3740.98,3003.22,3065.98,2405.74,2035.55,1485.53,1057.85,26035.49
PRECTOTCORR_SUM,41.75,-87.25,1379,1380.59,1657.97,2615.1,3080.21,3055.96,2820.76,2992.15,2354.06,2647.79,1979.65,1524.02,27487.27
PRECTOTCORR_SUM,41.75,-87.75,1309.39,1342.62,1689.61,2644.63,3192.01,3177.25,2853.46,2996.37,2347.73,2543.38,1902.66,1469.18,27468.28
PRECTOTCORR_SUM,41.75,-88.25,1244.53,1295.68,1700.68,2641.99,3277.44,3323.85,2865.59,2947.85,2386.76,2428.95,1828.3,1422.25,27363.87
PRECTOTCORR_SUM,41.75,-88.75,1149.61,1247.17,1669.04,2599.8,3277.44,3498.93,2831.84,2874.02,2378.32,2325.59,1727.05,1373.73,26952.54
PRECTOTCORR_SUM,41.75,-89.25,1147.5,1230.29,1675.37,2604.02,3330.18,3511.58,2798.09,2899.34,2393.09,2239.1,1735.49,1352.64,26916.68
PRECTOTCORR_SUM,41.75,-89.75,1059.96,1189.69,1673.79,2586.09,3280.08,3608.09,2852.93,2905.66,2390.45,2127.3,1696.46,1322.05,26692.56
PRECTOTCORR_SUM,41.75,-90.25,930.23,1112.7,1650.59,2572.38,3216.8,3715.66,2932.03,2952.07,2391.5,2040.82,1638.46,1257.71,26410.96
PRECTOTCORR_SUM,41.75,-90.75,802.62,1003.54,1605.23,2568.16,3194.65,3803.2,3008.5,3054.37,2403.11,2013.4,1576.76,1162.27,26195.8
PRECTOTCORR_SUM,41.75,-91.25,722.46,883.3,1550.39,2557.62,3232.62,3881.25,3092.87,3185.16,2417.87,2061.91,1513.48,1065.23,26164.16
PRECTOTCORR_SUM,41.75,-91.75,735.12,834.79,1503.98,2582.93,3228.4,3872.81,3139.28,3221.02,2417.87,2034.49,1477.62,1050.47,26098.77
PRECTOTCORR_SUM,42.25,-87.25,1333.12,1351.58,1593.11,2633.03,3013.77,2959.98,2562.36,2877.71,2421.04,2650.43,1956.97,1477.62,26830.72
PRECTOTCORR_SUM,42.25,-87.75,1231.88,1295.68,1626.86,2664.67,3150.88,3205.72,2683.65,2956.82,2428.42,2453.2,1815.64,1417.5,26930.92
PRECTOTCORR_SUM,42.25,-88.25,1175.45,1230.29,1621.58,2668.36,3219.96,3457.27,2809.16,2988.46,2462.17,2327.17,1745.51,1376.37,27081.74
PRECTOTCORR_SUM,42.25,-88.75,1120.61,1183.89,1600.49,2657.81,3211.52,3628.12,2823.93,2950.49,2438.96,2259.67,1692.77,1376.37,26944.63
PRECTOTCORR_SUM,42.25,-89.25,1082.64,1139.59,1625.8,2636.72,3222.07,3733.59,2845.02,3003.22,2468.5,2179.51,1675.9,1321.52,26934.08
PRECTOTCORR_SUM,42.25,-89.75,986.13,1076.31,1611.56,2609.3,3147.19,3818.5,2946.8,2987.93,2472.71,2105.68,1659.02,1269.84,26690.98
PRECTOTCORR_SUM,42.25,-90.25,877.5,998.26,1574.65,2612.46,3100.78,3901.82,3073.36,3022.73,2475.88,2050.84,1631.6,1209.73,26529.61
PRECTOTCORR_SUM,42.25,-90.75,781.52,908.61,1523.5,2644.63,3128.73,3984.08,3186.21,3130.31,2483.26,2040.29,1587.83,1134.84,26533.83
PRECTOTCORR_SUM,42.25,-91.25,701.37,809.47,1458.11,2665.72,3208.89,4047.36,3264.26,3237.89,2481.15,2112.01,1526.66,1044.14,26557.03
PRECTOTCORR_SUM,42.25,-91.75,739.34,792.6,1447.56,2674.16,3164.59,4017.83,3279.02,3248.44,2460.06,2076.15,1501.35,1065.23,26466.33
